Alert, AlertCommand
Open Library Manager, Electron::LibraryManager
Update design from library, Electron::UpdateDesignFromLibrary
Update design from all libraries used in design, Electron::UpdateDesignFromAllLibraries
Value, Electron::Value
Assembly Variant, Electron::AssemblyVariant
Via, Electron::Via
Wire, Electron::Wire
Zoom In, Electron::ZoomIn
Zoom Out, Electron::ZoomOut
Zoom Window, Electron::ZoomRect
Zoom to Fit, Electron::ZoomToFit
Synchronize, Electron::Synchronize
Add Custom 3D Model, Electron::AddCustom3DModel
Edit Custom 3D Model, Electron::EditCustom3DModel
Remove Custom 3D Model, Electron::RemoveCustom3DModel
Expand All Children, MSFCmnExpandCommand
Collapse All Children, MSFCmnCollapseCommand
Automatic Update, MSFNestAutoUpdateCmd
Report, SDK.MAGNestReportCmd.Show
3D Extruded, SDK.MAGNestRepresentationCmd.3DExtrude
Compare, SDK.MSFCmnFusionLaunchCommand.MSFNestCompareNewCmd
Unbind All, SDK.MAGNestBindUnbindPropertyCmd.ShapeUnbindAll
Dimensions, SDK.MAGNestDisplayCmd.Dimensions
Providers, SDK.MAGNestProvidersCmd.Config
Hide All Sources, SDK.MAGNestGeoSourcesCmd.Hide
Show Extraction Errors, SDK.MAGNestShowTranslateErrorDlgCmd.Show
Create Nest Study, SDK.MAGNestStudyCmd.Create
Enabled, SDK.MAGFeatObject.enabled.Toggle
Header, SDK.MAGNestDisplayCmd.Header
Delete All Sources, SDK.MAGNestGeoSourcesCmd.Delete
Create Nest Kit, SDK.MAGNestKitsCmd.Create
Create 3D Model, SDK.MSFNestCreateF3DCmd.Create
Fabrication Info, SDK.MAGNestDisplayCmd.FabricationInfo
Default Folder, SDK.MAGFeatDefaultFolderCmd.SetDefault
Save Results, SDK.MAGNestCalculateCmd.Save
2D, SDK.MAGNestRepresentationCmd.2D
Shapes, SDK.MAGNestSelectionCmd.Shapes
Process
Material Library, SDK.MAGMatLibraryCmd.CreateNesting
Mirror, SDK.MAGNestDisplayColorCmd.Mirror
Edit Nest Study, SDK.MAGNestStudyCmd.Edit
Duplicate, SDK.MAGFeatDuplicateCmd.DuplicateSelected
Create Nest Kit, SDK.MAGNestAutoCreateKitsCmd.Create
Bind All, SDK.MAGNestBindUnbindPropertyCmd.NestItemBindAll
Show All Sources, SDK.MAGNestGeoSourcesCmd.Show
Open, SDK.MAGNestOpenSourceCmd.Open
SDK Test Options, SDK.MAGTestOptionsCmd.Test
Edit, SDK.MAGNestEditNestCmd.Edit
Start Extract, SDK.MAGNestTranslateCmd.ContextExtract
Nest Properties, SDK.MAGNestShapeCmd.Create
Last, SDK.MAGNestViewCmd.Last
Nested Orientation, SDK.MAGNestDisplayColorCmd.NestedOrientation
Delete, SDK.MAGFeatDeleteCmd.DeleteSelected
Update, SDK.MAGFeatUpdateCmd.UpdateSelection
Delete, SDK.MSFNestDeleteCmd.DeleteSelected
Contours, SDK.MAGNestSelectionCmd.Contours
Previous, SDK.MAGNestViewCmd.Previous
Paste, SDK.MAGFeatPasteCmd.PasteCopied
Sheet Construction Points, SDK.MAGNestDisplayCmd.SheetConstructionPoint
Save All Results, SDK.MAGNestSaveCmd.SaveAll
Find in Window, SDK.MAGFeatAutoZoomCmd.Create
Inspect, SDK.MAGNestInfoPanelCmd.Context
Start, SDK.MAGNestCalculateCmd.Start
Copy, SDK.MAGFeatCopyCmd.CopySelected
Save All Results, SDK.MAGNestCalculateCmd.SaveAll
Update All, SDK.MAGFeatUpdateCmd.UpdateAllTruNest
SDK Test, SDK.MAGTestMainCommand.Test
Sources, SDK.MAGNestTranslateCmd.Context
Properties, SDK.MAGFeatPropertiesCmd.EditSelected
Source Orientation, SDK.MAGNestDisplayColorCmd.SourceOrientation
3D Compare, SDK.MAGNestRepresentationCmd.3DCompare
Automatic
Update, SDK.MAGFeatAutoUpdateCmd.AddInNestingUtility
Unbind All, SDK.MAGNestBindUnbindPropertyCmd.NestItemUnbindAll
Source, SDK.MAGNestDisplayColorCmd.Source
Update All, SDK.MAGFeatUpdateCmd.AutoUpdateNoDelay
Suppress, SDK.MAGFeatObject.enabled.Suppress
Geometry, SDK.MAGNestDisplayCmd.Geometry
Material, SDK.MAGNestDisplayColorCmd.Material
Default, SDK.MAGNestDisplayColorCmd.Default
Sheet Borders, SDK.MAGNestDisplayCmd.SheetGeometry
Segments, SDK.MAGNestSelectionCmd.Segments
TruNest to F3D, SDK.MSFNestMSIFileToF3DCmd.Import
Export, SDK.MAGNestExportCachedDxfCmd.Export
3D Detailed, SDK.MAGNestRepresentationCmd.3DDetailed
Material and Packaging Presets, SDK.MSFNestSaveContainerDataCmd.Create
Export, SDK.MAGNestExportCmd.FusionExport
Edit Nest Kit, SDK.MAGNestKitsCmd.Edit
Process Material Library, SDK.MAGMatLibraryCmd.FusionNesting
Bind All, SDK.MAGNestBindUnbindPropertyCmd.ShapeBindAll
Add Folder, SDK.MAGFeatCreateFolderCmd.AddToSelected
Auto-zoom, SDK.MAGNestAutoZoomCmd.toggle
Auto-zoom inspect, SDK.MAGNestAutoZoomCmd.inspect
Calculate, SDK.MAGNestCalculateCmd.Calculate
Update All, SDK.MAGFeatUpdateCmd.AutoUpdate
Shape, SDK.MAGNestDisplayColorCmd.Shape
Shaded, SDK.MAGNestDisplayCmd.Shaded
Open, SDK.MAGFeatOpenExternalLinkCmd.Open
Annotations, SDK.MAGNestDisplayCmd.ExtraText
Construction Points, SDK.MAGNestDisplayCmd.ConstructionPoint
Edit Shape, SDK.MAGNestShapeCmd.Edit
Compare, SDK.MAGNestCompareCmd.Compare
Sheets, SDK.MAGNestSelectionCmd.Sheets
Compare, SDK.MSFCmnFusionLaunchCommand.CompareCmd
Extra Geometry, SDK.MAGNestDisplayCmd.ExtraGeometry
Export, SDK.MAGNestExportCmd.Export
Create Nest, SDK.MAGNestEditNestCmd.Create
Process
Material Library, SDK.MAGMatLibraryCmd.Create
Properties, SDK.MAGNestShapeCmd.Context
Create Manufacturing Model, SDK.MSFNestCreateWorkingModelCmd.Create
Wireframe, SDK.MAGNestDisplayCmd.Wireframe
Sources, SDK.MAGNestSelectionCmd.Sources
Extra Construction Points, SDK.MAGNestDisplayCmd.ExtraConstructionPoint
First, SDK.MAGNestViewCmd.First
Segment, SDK.MAGNestDisplayColorCmd.Segment
Info Panel, SDK.MAGNestInfoPanelCmd.Show
Open, SDK.MSFNestOpenSourceCmd.Open
Sources, SDK.MAGNestTranslateCmd.Create
Online, SDK.MAGNestOnlineOfflineCmd.AddInInv
Providers, SDK.MAGNestUpdateAssemblyProviderCmd.Update
Cancel, SDK.MAGNestCalculateCmd.Cancel
Sheet Text, SDK.MAGNestDisplayCmd.SheetText
Auto-zoom select, SDK.MAGNestAutoZoomCmd.select
Visibility, SDK.MAGFeatObject.visible.Toggle
Next, SDK.MAGNestViewCmd.Next
Stop, SDK.MAGNestCalculateCmd.Stop
Auto-zoom off, SDK.MAGNestAutoZoomCmd.off
Create Nest Study, SDK.MAGNestStudyCmd.Context
Update All, SDK.MAGFeatUpdateCmd.UpdateAll
Refresh, SDK.MAGNestRefreshCmd.Refresh
Generate, SDK.MAGNestCalculateCmd.Generate
Labels, SDK.MAGNestLabelsCmd.Show
Rename, SDK.MAGFeatRenameCmd.RenameSelected
Remove component from aggregated asset., MSFNestRemoveAggregateCompCmd
Nest Preparation, MSFNestAuthoringCmd
Import TruNest MSI, ImportTruNestMSI
Export TruNest MSI, ExportTruNestMSI
Shape properties, MSFNestShapeCmd
Create Nest Study, MSFNestCreateStudyCmd
Edit Nest Study, MSFNestEditStudyCmd
Compare, CompareCmd
Create Manufacturing Model, MSFNestShowSheetItemsCmd
Part Labels, MSFNestPartLabelInfoCmd
Edit Nest, MSFNestEditNestCmd
Compare, MSFNestCompareNewCmd
Synchronizes Nest, MSFNestSyncNestCmd
Create Nest Study, MSFNestPrepareNestCmd
Synchronizes the nesting data model with the aggregation., MSFNestSyncAggregationCmd
Synchronizes the working models with the nesting data model., MSFNestSyncWorkingModelsCmd
Automatic Naming, MSFNestNameConventionCmd
Initialize Nest environment, MSFNestInitializeEnvCmd
Create Cut List, MSFNestCutListCmdDef
Arrange Statistics, MSFArrangeReportCmdDef
Process Material Library, MSF.MAGMatLibraryCmd.FusionNesting
Generate, MSF.MAGNestCalculateCmd.Generate
Material and Packaging Presets, MSF.MSFNestSaveContainerDataCmd.Create
Volumetric Lattice, VolFieldCreateLatticeCommand
Edit Feature, VolFieldDcCreateLatticeEditCmd
Create Volumetric Model, VolFieldCreateModelCommand
Edit Feature, VolFieldDcCreateModelEditCmd
Modify Volumetric Model, VolFieldModifyModelCommand
Edit Feature, VolFieldDcModifyModelEditCmd
Remove, VolFieldRemoveModelCommand
Convert Volumetric Model to Mesh, VolFieldModelToMeshCommand
Edit Feature, VolFieldDcModelToMeshEditCmd
Insert Mesh, ParaMeshInsertCommand
Convert Mesh body to Parametric Mesh, ParaMeshAdoptCommand
Convert Parametric Mesh to Mesh body, ParaMeshDemoteCommand
Tessellate, ParaMeshTessellateCommand
Edit Feature, ParaMeshDcTessellateEditCommand
Smooth, ParaMeshSmoothCommand
Edit Feature, ParaMeshDcSmoothEditCommand
Reduce, ParaMeshReduceCommand
Edit Feature, ParaMeshDcReduceEditCommand
Combine, ParaMeshCombineCommand
Edit Feature, ParaMeshDcCombineEditCommand
Repair, ParaMeshRepairCommand
Edit Feature, ParaMeshDcRepairEditCommand
Shell, ParaMeshHollowCommand
Edit Feature, ParaMeshDcHollowEditCommand
Remesh, ParaMeshRemeshCommand
Edit Feature, ParaMeshDcRemeshEditCommand
Reverse Normal, ParaMeshReverseNormalsCommand
Edit Feature, ParaMeshDcReverseNormalsEditCommand
Combine Face Groups, ParaMeshMergeFaceGroupsCommand
Edit Feature, ParaMeshDcMergeFaceGroupsEditCommand
Plane Cut, ParaMeshPlaneCutCommand
Edit Feature, ParaMeshDcPlaneCutEditCommand
Convert To Quad Mesh, ParaMeshToQuadMeshCommand
Edit Feature, ParaMeshDcToQuadMeshEditCommand
Convert Mesh, ParaMeshConvertCommand
Edit Feature, ParaMeshDcConvertEditCommand
Separate, ParaMeshExtractCommand
Edit Feature, ParaMeshDcExtractEditCommand
Generate Face Groups, ParaMeshCalculateFaceGroupsCommand
Edit Feature, ParaMeshDcCalculateFaceGroupsEditCommand
Edit Feature, ParaMeshDcMoveCopyEditCommand
Scale Mesh, ParaMeshScaleCommand
Edit Feature, ParaMeshDcScaleEditCommand
Remove, ParaMeshRemoveCommand
Create Mesh Section Sketch, ParaMeshPlanarSectionCommand
Edit Feature, ParaMeshDcPlanarSectionEditCommand
Direct Edit, ParaMeshBaseFeatureCreateCommand
Edit Feature, ParaMeshBaseFeatureActivateCommand
Finish Direct Edit, ParaMeshBaseFeatureStopCommand
Create Base Mesh Feature, ParaMeshEmptyBaseFeatureCommand
Create Face Group, ParaMeshCreateFaceGroupCommand
Erase And Fill, ParaMeshEraseAndFillCommand
Insert Mesh, ParaMeshInsertAlignCommand
Insert Mesh, ParaMeshPositionCommand
Mesh Palette, ParaMeshShowSelectionPanelCmd
Flat Shaded, ParaMeshFlatMeshShadingCommand
Smooth Shaded, ParaMeshSmoothMeshShadingCommand
Texture Extrude, ParaMeshTextureCommand
Edit Feature, ParaMeshDcTextureEditCommand
Mesh Align, ParaMeshAlignCommand
Diagnostics, DiagnosticsCommand
Get Quotes From 100kGarages.com, 100kGaragesButtonID
Package Generator, PackageGenerator
Axial Generator, cmd_id_Axial
BGA Generator, cmd_id_BGA
Chip Generator, cmd_id_Chip
SOIC Generator, cmd_id_Soic
DFN-2 Generator, cmd_id_DFN2
DFN-3 Generator, cmd_id_DFN3
DFN-4 Generator, cmd_id_DFN4
Pin Header(Male) Right Angle Generator, cmd_id_header_right_angle
Receptacle Header(Female) Right Angle Generator, cmd_id_header_right_angle_socket
Pin Header(Male) Straight Generator, cmd_id_header_straight
Receptacle Header(Female) Straight Generator, cmd_id_header_straight_socket
SON Generator, cmd_id_Son
Chip LED Generator, cmd_id_Chip_led
QFP Generator, cmd_id_Qfp
QFN Generator, cmd_id_Qfn
Chip Array, 2 Side Convex Generator, cmd_id_chiparray_2side_convex
Chip Array, 2 Side Flat/Concave Generator, cmd_id_chiparray_2side_flat_concave
Chip Array, 4 Side Flat/Concave Generator, cmd_id_chiparray_4side_flat
SOT143 Generator, cmd_id_sot143
SOT223 Generator, cmd_id_sot223
SOT23 Generator, cmd_id_sot23
SOTFL Generator, cmd_id_sotfl
PLCC Generator, cmd_id_Plcc
Oscillator_j Generator, cmd_id_Oscillator_j
Oscillator_l Generator, cmd_id_Oscillator_l
SOJ Generator, cmd_id_Soj
Crystal Generator, cmd_id_crystal
Crystal(HC49) Generator, cmd_id_crystal_hc49
DIP Generator, cmd_id_dip
E-Cap Generator, cmd_id_ecap
Melf Generator, cmd_id_Melf
Molded Generator, cmd_id_Molded
Female Standoff/Spacer Generator, cmd_id_female_standoff
Male-Female Standoff/Spacer Generator, cmd_id_male_female_standoff
SOD Generator, cmd_id_Sod
Snap Lock Generator, cmd_id_Snaplock
Radial Generator, cmd_id_Radial
Radial Round Led Generator, cmd_id_Radial_Round_Led
Cornerconcave Generator, cmd_id_Cornerconcave
SODFL Generator, cmd_id_Sodfl
TO/DPAK Generator, cmd_id_TODPAK
Surface Mount Receptacle Header (Female) Straight Generator, cmd_id_surafce_mount_header_female
Surface Mount Pin Header (Male) Straight Generator, cmd_id_surface_mount_pin_header_male
Surface Mount Pin Header (Male) Right Angle Generator, cmd_id_surface_mount_pin_header_male_right_angle
DIP Socket Generator, cmd_id_dip_socket
Radial Dipped Rectangle Generator, cmd_id_Radial_Dipped_Rectangle
Insert a manufacturer part, cadenasparts4cad
Insert TraceParts Supplier Components, traceparts_insert
